id,treatment,tofrom,value,role,resp,round,rounds,old
21,1,27,15,0,1,1,2,0
21,1,28,15,0,1,1,2,0
21,1,31,15,0,0,1,2,0
21,1,32,15,0,1,1,2,0
21,1,18,15,0,1,1,2,0
21,1,19,15,0,1,1,2,0
21,1,10,15,0,0,2,2,0
21,1,11,15,0,0,2,2,0
21,1,13,15,0,1,2,2,0
21,1,14,15,0,1,2,2,0
21,1,16,15,0,1,2,2,0
21,1,17,15,0,1,2,2,0
21,1,6,15,0,1,2,2,0
21,1,9,15,0,1,2,2,0
22,1,26,46.5999984741,0,0,1,2,0
22,1,27,32.7000007629,0,1,1,2,0
22,1,28,33.2999992371,0,1,1,2,0
22,1,31,33.7000007629,0,1,1,2,0
22,1,32,44.4000015259,0,1,1,2,0
22,1,18,37.7000007629,0,1,1,2,0
22,1,19,27.7000007629,0,1,1,2,0
22,1,23,26.7000007629,0,1,1,2,0
22,1,11,27.7000007629,0,1,2,2,0
22,1,13,22.2000007629,0,1,2,2,0
22,1,14,16.6000003815,0,1,2,2,0
22,1,16,15.5,0,1,2,2,0
22,1,17,21.1000003815,0,1,2,2,0
22,1,6,4.1999998093,0,0,2,2,0
22,1,9,15.5,0,1,2,2,0
22,1,10,26.6000003815,0,1,2,2,0
24,1,27,6,0,0,1,2,0
24,1,28,8,0,1,1,2,0
24,1,31,5,0,0,1,2,0
24,1,32,4,0,0,1,2,0
24,1,18,5,0,1,1,2,0
24,1,19,10,0,1,1,2,0
24,1,23,5,0,1,1,2,0
24,1,26,3,0,0,1,2,0
24,1,13,6.0999999046,0,1,2,2,0
24,1,14,10,0,1,2,2,0
24,1,16,7,0,1,2,2,0
24,1,17,8,0,0,2,2,0
24,1,6,10,0,0,2,2,0
24,1,9,7,0,1,2,2,0
24,1,10,5.0999999046,0,0,2,2,0
24,1,11,7,0,0,2,2,0
25,1,28,23,0,1,1,2,0
25,1,31,23,0,1,1,2,0
25,1,32,23,0,1,1,2,0
25,1,18,22,0,1,1,2,0
25,1,19,22,0,1,1,2,0
25,1,23,22,0,1,1,2,0
25,1,26,22,0,1,1,2,0
25,1,27,23,0,1,1,2,0
25,1,14,20,0,1,2,2,0
25,1,16,20,0,1,2,2,0
25,1,17,20,0,1,2,2,0
25,1,6,20,0,1,2,2,0
25,1,9,20,0,1,2,2,0
25,1,10,20,0,1,2,2,0
25,1,11,20,0,1,2,2,0
25,1,13,20,0,1,2,2,0
29,1,31,20,0,1,1,2,0
29,1,32,20,0,1,1,2,0
29,1,18,19,0,1,1,2,0
29,1,19,19,0,1,1,2,0
29,1,23,15,0,1,1,2,0
29,1,26,15,0,1,1,2,0
29,1,27,19,0,1,1,2,0
29,1,28,20,0,1,1,2,0
29,1,16,15,0,1,2,2,0
29,1,17,15,0,1,2,2,0
29,1,6,15,0,1,2,2,0
29,1,9,15,0,1,2,2,0
29,1,10,15,0,0,2,2,0
29,1,11,15,0,0,2,2,0
29,1,13,15,0,1,2,2,0
29,1,14,15,0,1,2,2,0
30,1,32,26.5,0,1,1,2,0
30,1,18,24.1000003815,0,1,1,2,0
30,1,19,25.7000007629,0,1,1,2,0
30,1,23,25,0,1,1,2,0
30,1,26,20.5,0,1,1,2,0
30,1,27,29,0,1,1,2,0
30,1,28,24.2000007629,0,1,1,2,0
30,1,31,25.6000003815,0,1,1,2,0
30,1,17,21,0,0,2,2,0
30,1,6,20,0,1,2,2,0
30,1,9,20,0,1,2,2,0
30,1,10,20.5,0,1,2,2,0
30,1,11,20,0,1,2,2,0
30,1,13,20.5,0,1,2,2,0
30,1,14,21.1000003815,0,1,2,2,0
30,1,16,20.5,0,1,2,2,0
33,2,34,14.8999996185,0,1,1,2,0
33,2,36,14.8999996185,0,1,1,2,0
33,2,38,14.8999996185,0,0,1,2,0
33,2,39,14.8999996185,0,1,1,2,0
33,2,42,14.8999996185,0,1,1,2,0
33,2,45,14.8999996185,0,1,1,2,0
33,2,46,14.8999996185,0,1,1,2,0
33,2,48,14.8999996185,0,1,1,2,0
33,2,49,13.8999996185,0,1,2,2,0
33,2,50,13.8999996185,0,1,2,2,0
33,2,52,13.8999996185,0,1,2,2,0
33,2,56,13.8999996185,0,1,2,2,0
33,2,57,13.8999996185,0,1,2,2,0
33,2,60,13.8999996185,0,1,2,2,0
33,2,61,13.8999996185,0,1,2,2,0
33,2,63,13.8999996185,0,1,2,2,0
35,2,36,18,0,1,1,2,0
35,2,38,18,0,1,1,2,0
35,2,39,18,0,1,1,2,0
35,2,42,18,0,1,1,2,0
35,2,45,18,0,1,1,2,0
35,2,46,18,0,1,1,2,0
35,2,48,18,0,1,1,2,0
35,2,34,19,0,1,1,2,0
35,2,50,17,0,1,2,2,0
35,2,52,17,0,1,2,2,0
35,2,56,17,0,1,2,2,0
35,2,57,17.1000003815,0,1,2,2,0
35,2,60,17.1000003815,0,1,2,2,0
35,2,61,17.1000003815,0,1,2,2,0
35,2,63,17.1000003815,0,1,2,2,0
35,2,49,17.1000003815,0,1,2,2,0
37,2,38,23,0,1,1,2,0
37,2,39,24,0,1,1,2,0
37,2,42,25,0,1,1,2,0
37,2,45,25,0,1,1,2,0
37,2,46,26,0,1,1,2,0
37,2,48,27,0,1,1,2,0
37,2,34,22,0,1,1,2,0
37,2,36,22,0,1,1,2,0
37,2,52,20,0,1,2,2,0
37,2,56,20,0,1,2,2,0
37,2,57,20,0,1,2,2,0
37,2,60,20,0,1,2,2,0
37,2,61,20,0,1,2,2,0
37,2,63,23,0,1,2,2,0
37,2,49,15,0,1,2,2,0
37,2,50,20,0,1,2,2,0
40,2,39,21.7000007629,0,1,1,2,0
40,2,42,23.7999992371,0,1,1,2,0
40,2,45,21.7000007629,0,1,1,2,0
40,2,46,19.6000003815,0,1,1,2,0
40,2,48,17.7000007629,0,1,1,2,0
40,2,34,15.6999998093,0,1,1,2,0
40,2,36,17.7000007629,0,1,1,2,0
40,2,38,19.6000003815,0,1,1,2,0
40,2,56,10,0,0,2,2,0
40,2,57,10.6999998093,0,1,2,2,0
40,2,60,11.6999998093,0,1,2,2,0
40,2,61,13.6999998093,0,1,2,2,0
40,2,63,15.6999998093,0,1,2,2,0
40,2,49,10,0,1,2,2,0
40,2,50,10,0,1,2,2,0
40,2,52,10,0,1,2,2,0
41,2,42,25,0,1,1,2,0
41,2,45,25.1000003815,0,1,1,2,0
41,2,46,25.5,0,1,1,2,0
41,2,48,25.7999992371,0,1,1,2,0
41,2,34,21.7999992371,0,1,1,2,0
41,2,36,22.7999992371,0,1,1,2,0
41,2,38,23.2000007629,0,1,1,2,0
41,2,39,23.7999992371,0,1,1,2,0
41,2,57,25,0,1,2,2,0
41,2,60,25.7999992371,0,1,2,2,0
41,2,61,25.1000003815,0,1,2,2,0
41,2,63,23.2999992371,0,1,2,2,0
41,2,49,21.7999992371,0,1,2,2,0
41,2,50,22.7000007629,0,1,2,2,0
41,2,52,23.1000003815,0,1,2,2,0
41,2,56,23.7999992371,0,1,2,2,0
43,2,45,17,0,1,1,2,0
43,2,46,20,0,1,1,2,0
43,2,48,18,0,1,1,2,0
43,2,34,15,0,1,1,2,0
43,2,36,15,0,1,1,2,0
43,2,38,17,0,1,1,2,0
43,2,39,20,0,1,1,2,0
43,2,42,15,0,1,1,2,0
43,2,60,13.5,0,1,2,2,0
43,2,61,15,0,1,2,2,0
43,2,63,10,0,1,2,2,0
43,2,49,12,0,1,2,2,0
43,2,50,12.5,0,1,2,2,0
43,2,52,15,0,1,2,2,0
43,2,56,15,0,1,2,2,0
43,2,57,12,0,1,2,2,0
44,2,46,10,0,1,1,2,0
44,2,48,10,0,1,1,2,0
44,2,34,10,0,1,1,2,0
44,2,36,10,0,1,1,2,0
44,2,38,10,0,0,1,2,0
44,2,39,10,0,1,1,2,0
44,2,42,10,0,1,1,2,0
44,2,45,10,0,1,1,2,0
44,2,61,10,0,1,2,2,0
44,2,63,10,0,1,2,2,0
44,2,49,10,0,1,2,2,0
44,2,50,10,0,1,2,2,0
44,2,52,10,0,1,2,2,0
44,2,56,10,0,0,2,2,0
44,2,57,10,0,1,2,2,0
44,2,60,10,0,1,2,2,0
47,2,48,15.5,0,1,1,2,0
47,2,34,12.5,0,1,1,2,0
47,2,36,14,0,1,1,2,0
47,2,38,15,0,0,1,2,0
47,2,39,16.5,0,1,1,2,0
47,2,42,17,0,1,1,2,0
47,2,45,13.5,0,1,1,2,0
47,2,46,17,0,1,1,2,0
47,2,63,16.7000007629,0,1,2,2,0
47,2,49,15,0,1,2,2,0
47,2,50,14.5,0,1,2,2,0
47,2,52,17,0,1,2,2,0
47,2,56,15.6999998093,0,1,2,2,0
47,2,57,13.8999996185,0,1,2,2,0
47,2,60,16,0,1,2,2,0
47,2,61,14,0,1,2,2,0
51,2,49,27.3999996185,0,1,1,2,0
51,2,50,27.3999996185,0,1,1,2,0
51,2,52,27.3999996185,0,1,1,2,0
51,2,56,20,0,1,1,2,0
51,2,57,20.3999996185,0,1,1,2,0
51,2,60,20.8999996185,0,1,1,2,0
51,2,61,20,0,1,1,2,0
51,2,63,27.3999996185,0,1,1,2,0
51,2,34,20,0,1,2,2,0
51,2,36,20,0,1,2,2,0
51,2,38,16.5,0,1,2,2,0
51,2,39,22.7000007629,0,1,2,2,0
51,2,42,24.1000003815,0,1,2,2,0
51,2,45,15.6000003815,0,1,2,2,0
51,2,46,20.7000007629,0,1,2,2,0
51,2,48,19.2999992371,0,1,2,2,0
53,2,50,10,0,1,1,2,0
53,2,52,20,0,1,1,2,0
53,2,56,15,0,1,1,2,0
53,2,57,27.5,0,1,1,2,0
53,2,60,19.5,0,1,1,2,0
53,2,61,22,0,1,1,2,0
53,2,63,19.5,0,1,1,2,0
53,2,49,15,0,1,1,2,0
53,2,36,15,0,1,2,2,0
53,2,38,15,0,1,2,2,0
53,2,39,15,0,1,2,2,0
53,2,42,16,0,1,2,2,0
53,2,45,15,0,1,2,2,0
53,2,46,15,0,1,2,2,0
53,2,48,15,0,1,2,2,0
53,2,34,12,0,1,2,2,0
54,2,52,15,0,1,1,2,0
54,2,56,10,0,0,1,2,0
54,2,57,10,0,1,1,2,0
54,2,60,15,0,1,1,2,0
54,2,61,10,0,1,1,2,0
54,2,63,10,0,1,1,2,0
54,2,49,10,0,1,1,2,0
54,2,50,10,0,1,1,2,0
54,2,38,10,0,0,2,2,0
54,2,39,10,0,1,2,2,0
54,2,42,10,0,1,2,2,0
54,2,45,10,0,1,2,2,0
54,2,46,10,0,1,2,2,0
54,2,48,10,0,1,2,2,0
54,2,34,10,0,1,2,2,0
54,2,36,10,0,1,2,2,0
55,2,56,17.5,0,1,1,2,0
55,2,57,18,0,1,1,2,0
